artist, artist_normalized
"Danger Mouse & Black Thought", "Danger Mouse and Black Thought"
"Tyler, The Creator", "Tyler The Creator""!!! ","!!!"
"- - -","Alt - J"
". . . . .","A. J . Roach"
"10,000 Maniacs ","10,000 Maniacs"
"10000 Maniacs","10 000 Maniacs"
"12 - Denzel Curry","Denzel Curry"
"13 Floor Elevators","13th Floor Elevators"
"13 - Keep for Cheap","Keep for Cheap"
"13th Floor Elevators Debut","13th Floor Elevators"
"13th Floor Evevators","13th Floor Elevators"
"16 Horesepower","16 Horsepower"
"16 - Weyes Blood","Weyes Blood"
"17 - James Blake","James Blake"
"18 - Caroline Polachek","Caroline Polachek"
"19 - Maggie Rogers","Maggie Rogers"
"1 - FKA Twigs","FKA Twigs"
"200.000 Naglbítar","200.000 naglbítar"
"20 - Danny Brown","Danny Brown"
"21 Dark Years","Dark Dark Dark"
"21 - Kate Malanaphy","Kate Malanaphy"
"21 Savage ","21 Savage"
"22- Orville Peck","Orville Peck"
"23 - Faye Webster","Faye Webster"
"26BATS!","26 BATS!"
"27 - Better Oblivion Community Center","Better Oblivion Community Center"
"27 Various","The 27 Various"
"28- Big Thief","Big Thief"
"29 - Double Grave","Double Grave"
"2 Cellos","2Cellos"
" 2Cellos","2Cellos"
"2Chainz","2 Chainz"
"2Pac ","2Pac"
"2Pac & The Notorious B.I.G.","The Notorious B.I.G."
"2 Player","Player"
"2 Smooth","Smooth"
"30 - Field Medic","Field Medic"
"31- Carly Rae Jepsen","Carly Rae Jepsen"
"32nd Turn Off","Turn Turn Turn"
"32- Remo Drive","Remo Drive"
"34 - Cherry Glazer","Cherry Glazer"
"35 - Charly Bliss","Charly Bliss"
"36 - Last Import","Last Import"
"37 - Freddie Gibbs & Madlib","Freddie Gibbs & Madlib"
"3 - Angel Olsen","Angel Olsen"
"3 Mustaphas","3 Mustaphas 3"
"3rd Man","Man Man"
"3 Stars","Stars"
"3 Stooges","Stooges"
"!3th Floor Elevators","13th Floor Elevators"
"3 Titans","Titans"
"40- Blood Orange","Blood Orange"
"41- Dua Saleh","Dua Saleh"
"42- Jessica Pratt","Jessica Pratt"
"43- Kevin Abstract","Kevin Abstract"
"46- Velvet Negroni","Velvet Negroni"
"48- Purple Mountains","Purple Mountains"
"48 Winchester","49 Winchester"
"49- Steve Lacy","Steve Lacy"
"4Hero ","4Hero"
"4-Non Blondes","4 Non Blondes"
"4 - (Sandy) Alex G","(Sandy) Alex G"
"4 Seasons","The 4 Seasons"
"4 Stars","Stars"
"4 Women No Cry","Cry Cry Cry"
"51- Great Grandpa","Great Grandpa"
"52- Thom Yorke","Thom Yorke"
"53- Dizzy Fae","Dizzy Fae"
"54- Flying Lotus","Flying Lotus"
"57- Jenny Lewis","Jenny Lewis"
"58- Ezra Furman","Ezra Furman"
"59- Little Simz","Little Simz"
