title, title_normalized
"Up feat Rag n Bone Man", "Up feat. Rag'n'Bone Man"
"Up feat. Rag'n'Bone Man", "Up feat. Rag'n'Bone Man"
"Up (feat. Rag 'N' Bone Man)", "Up feat. Rag'n'Bone Man"
"Up", "Up"
"Two Against One", "Two Against One ( f Jack White )""$1,00,000 Song","Song Song Song"
"Crazy Talk","Talk Talk"
"Dancing is the Best Revenge","Dancing Is The Best Revenge"
"Dancing Is the Best Revenge","Dancing Is The Best Revenge"
"Dancing Is The Best Revenger","Dancing Is The Best Revenge"
"Heart Of Hearts","Heart of Hearts"
"Hearts of Hearts","Heart of Hearts"
"Hello? Is This Thing On?","Hello, Is This Thing On?"
"One Boy. One Girl","One Girl One Boy"
"One Girl / One Boy","One Girl One Boy"
"One Girl/ One Boy","One Girl One Boy"
"One Girl/One Boy","One Girl One Boy"
"","None"
"Jake Blount - Didn't It Rain (2022)","Didn't It Rain"
"Mighty Mouse - Theme","Mighty Mouse Theme"
"These Are Days (live)","These Are Days"
"These Are Days (Unplugged)","These Are Days"
"These Days","These Are Days"
"What's the Matter Here","What's the Matter Here?"
"What’s the Matter Here?","What's the Matter Here?"
"What's The Matter Here","What's the Matter Here?"
"What\'s The Matter Here","What's the Matter Here?"
"Whats The Matter Here","What's the Matter Here?"
"What�s The Matter Here","What's the Matter Here?"
"Hey Jack Kerouac","Hey Jack Kerouac"
"(Theme From) The Monkees","(Theme From) The Monkees"
"Kills","103"
"The Things We Do","The Things We Do For LOve"
"The Things We Do For Love","The Things We Do For Love"
"Dreadlock Holiday (Edit)","Dreadlock Holiday"
"I’m Not in Love","I'm Not in Love"
"Im Not in Love","I'm Not in Love"
"I\'m Not In Love","I'm Not In Love"
"I’m Not In Love","I'm Not In Love"
"I'm Not in Love (Live)","I'm Not in Love"
"Get Away / Keep On Smiling","Keep On Smiling"
"Feist","1234"
"I Wish You Were a Girl","I Wish You Were A Girl"
"Make Out Music","Make-Out Music"
"mexico","Mexico"
"My Year (This Is Going to Be)","My Year (This Is Going To Be)"
"Men of Station","Men Of Station"
"Melancholy","Melancholy"
"(I've Got) Levitation","Levitation"
"I've Got Levitation","Levitation"
"Levitation (Instrumental)","Levitation"
"She Lives (In A Time All Her Own)","She Lives (In a Time of Her Own)"
"She Lives in a Time Of Her Own","She Lives (In a Time of Her Own)"
"She Lives (In a Time of her Own)","She Lives (In a Time of Her Own)"
"She Lives In a Time of Her Own","She Lives (In a Time of Her Own)"
"She Lives (In A Time of Her Own)","She Lives (In a Time of Her Own)"
"She Lives (In A Time Of Her Own)","She Lives (In a Time of Her Own)"
"She Lives In (A Time Of Her Own)","She Lives (In a Time of Her Own)"
"She Lives In A Time Of Her Own","She Lives (In a Time of Her Own)"
"She LIves In a Time of Her Own","She Lives (In a Time of Her Own)"
"She LIves (In A Time Of Her Own)","She Lives (In a Time of Her Own)"
"You're Goning To Miss Me","You're Gonna Miss Me"
"You're Gonna Miss Me...","You're Gonna Miss Me"
"You’re Gonna Miss Me","You're Gonna Miss Me"
"You're Gonna Miss Me (In Concert)","You're Gonna Miss Me"
"You're Gonna Miss Me (live)","You're Gonna Miss Me"
"You're Gonna Miss Me (Live)","You're Gonna Miss Me"
"You're Gonna Miss Me - Original","You're Gonna Miss Me"
"She's Always In My Hair","She's Always In My Hair"
"953","953"
"Black Soul Choir (live)","Black Soul Choir"
"Black Soul Choir (LP version)","Black Soul Choir"
"So Hot You're Hurting My Feelings","So Hot You're Hurting My Feelings"
"Paul Hardcastle","19"
"1975","Sex"
"Chocolate","Chocolate"
"Love Me","Love Me"
"People","People"
"The 1975","Chocolate"
"Smashing Pumpkins","1979"
"See You at the Lights","See You At The Lights"
"You're Supposed to Be My Friend","You're Supposed To Be My Friend"
"The Box","The Box"
"You Made Me Like It","You Made Me Like It"
"You're Supposed to Be My Friend","You're Supposed To Be My Friend"
"See You At the Lights","See You At The Lights"
"You're Supposed to Be My Friend","You're Supposed To Be My Friend"
"Alaska","Alaska"
"Garbage","#1 Crush"
"Cellophane","Cellophane"
"Rolling Stones","2000 Light Years From Home"
"Everything But The Girl Walking Wounded","Walking Wounded"
"Dirty Laundry","Dirty Laundry"
"Placebo","20th Century Boy"
"22 Days","22 Days"
"Devil In Me","Devil In Me"
"Devil in Me","Devil In Me"
"Devil In Me (live)","Devil In Me"
"I'm The One","I'm the One"
"Latest Heartbreak","Latest Heartbreak"
"Talk To Me","Talk Talk"
"I'm the One","I'm the One"
"Right Side of My Neck","Right Side of My Neck"
"Tom Robinson Band","2-4-6-8 Motorway"
"Break the Chains","Break the Chains"
"City Of Angels","City of Angels"
"You’re Early","You're Early"
"Honeysuckle Rose","Honeysuckle Rose"
"do What You Do","Do What You Do"
"GWUM EXTENDO","GMUM EXTENDO"
"Im OK","IM OK"
"Magnified","Magnified Iris"
"Rotton Bones","Rotten Bones"
"Smack Talk","Talk Talk"
"GMUM EXTENDO","GMUM EXTENDO"
"Honeysuckle Rose","Honeysuckle Rose"
"Magnified Iris","Magnified Iris"
"Rotten Bones","Rotten Bones"
"Rotten Bones","Rotten Bones"
"Dylan Thomas","Dylan Thomas"
"Turn On And On","Turn On And On"
"Not This Time","Not This Time"
"Bags","Bags"
"California Love","California Love"
"Keep Ya Head Up","Keep Ya Head Up"
"Thug Passion","Thug Passion"
"California Love","California Love"
"Keep Ya Head Up","Keep Ya Head Up"
"California","California Love"
"California Love (remix)","California Love"
"California Love (Remix)","California Love"
"Changes (feat. Talent)","Changes feat. Talent"
"Hit Em Up","Hit 'Em Up"
"Holla If Ya Hear Me","Holler If Ya Hear Me"
"How Do U Want It (feat. K-Ci & JoJo)","How Do You Want It feat. K-Ci & JoJo"
"I Ain't Mad at Cha (feat. Danny Boy)","I Ain't Mad At Cha feat. Danny Boy"
"I Ain't Mad At Cha (feat. Danny Boy)","I Ain't Mad At Cha feat. Danny Boy"
"Keep ya Head Up","Keep Ya Head Up"
"Keep Ya Head Up (Clean)","Keep Ya Head Up"
"Me Against the World (feat. Dramacydal)","Me Against the World feat. Dramacydal"
"Changes","Changes feat. Talent"
"Changes","Changes ft. Talent"
"Gimme the Loot","Gimme The Loot"
"Riot Nrrrd","Riot Nrrrd."
"Hooverphonic","2Wicky"
"Beautiful Disaster (live)","Beautiful Disaster"
"Crush Talk","Talk Talk"
"Caught Up in You","Caught Up In You"
"Caught Up in You","Caught Up In You"
"Mud Madness","Madness"
"Talk Yuh Talk","Talk Talk"
"The Soba Song","Soba Song"
"Pop Goes the Weasel","Pop Goes The Weasel"
"Steppin' To The A.M.","Steppin To The AM"
"Ice Talk","Talk Talk"
"Partytime (Zombie Version)","45 Grave"
"All My Happiness is Gone","All My Happiness Is Gone"
"Mariachi El Bronx","48 Roses"
"Russell County Line","Russel County Line"
"What's up ?","What's Up?"
"What’s Up","What's Up"
"What’s Up?","What's Up?"
"Whats Up","What's Up"
"Whats Up?","What's Up?"
"What�s Up?","What's Up?"
